run	year	lct	area
1	1	crop	2032900
1	1	grass	222400
1	1	oak	2368600
1	1	pine	1048800
1	1	shrub	829100
1	1	urban	35700
1	1	water	443900
1	2	crop	2032700
1	2	grass	222400
1	2	oak	2365100
1	2	pine	1047200
1	2	shrub	828300
1	2	urban	35700
1	2	water	443900
1	3	crop	2019200
1	3	grass	221800
1	3	oak	2368300
1	3	pine	1035500
1	3	shrub	822900
1	3	urban	35700
1	3	water	443900
1	4	crop	2012600
1	4	grass	219500
1	4	oak	2339200
1	4	pine	1017300
1	4	shrub	822400
1	4	urban	35700
1	4	water	443900
1	5	crop	2035400
1	5	grass	219400
1	5	oak	2371000
1	5	pine	1050000
1	5	shrub	828700
1	5	urban	35700
1	5	water	443900
1	6	crop	2034500
1	6	grass	221400
1	6	oak	2372300
1	6	pine	1047600
1	6	shrub	829900
1	6	urban	35700
1	6	water	443900
1	7	crop	2011300
1	7	grass	220900
1	7	oak	2332900
1	7	pine	1009500
1	7	shrub	822900
1	7	urban	35700
1	7	water	443900
1	8	crop	2040500
1	8	grass	222700
1	8	oak	2377300
1	8	pine	1052900
1	8	shrub	829900
1	8	urban	35700
1	8	water	443900
1	9	crop	2034100
1	9	grass	222800
1	9	oak	2375700
1	9	pine	1051100
1	9	shrub	828300
1	9	urban	35700
1	9	water	443900
1	10	crop	2038000
1	10	grass	222100
1	10	oak	2374500
1	10	pine	1049500
1	10	shrub	828900
1	10	urban	35700
1	10	water	443900
1	11	crop	2040100
1	11	grass	222600
1	11	oak	2375600
1	11	pine	1053100
1	11	shrub	830400
1	11	urban	35700
1	11	water	443900
1	12	crop	2041700
1	12	grass	222800
1	12	oak	2376400
1	12	pine	1054100
1	12	shrub	830400
1	12	urban	35700
1	12	water	443900
1	13	crop	2034400
1	13	grass	221900
1	13	oak	2366600
1	13	pine	1044400
1	13	shrub	828700
1	13	urban	35700
1	13	water	443900
1	14	crop	2033500
1	14	grass	222000
1	14	oak	2372700
1	14	pine	1050300
1	14	shrub	828700
1	14	urban	35700
1	14	water	443900
1	15	crop	2031000
1	15	grass	221800
1	15	oak	2366800
1	15	pine	1041200
1	15	shrub	828600
1	15	urban	35700
1	15	water	443900
1	16	crop	2031100
1	16	grass	221100
1	16	oak	2365300
1	16	pine	1046600
1	16	shrub	828100
1	16	urban	35700
1	16	water	443900
1	17	crop	2037700
1	17	grass	222400
1	17	oak	2373700
1	17	pine	1051800
1	17	shrub	830100
1	17	urban	35700
1	17	water	443900
1	18	crop	2031600
1	18	grass	221600
1	18	oak	2365200
1	18	pine	1047500
1	18	shrub	828900
1	18	urban	35700
1	18	water	443900
1	19	crop	2021900
1	19	grass	221100
1	19	oak	2352700
1	19	pine	1032000
1	19	shrub	827400
1	19	urban	35700
1	19	water	443900
1	20	crop	2031600
1	20	grass	222700
1	20	oak	2374200
1	20	pine	1043300
1	20	shrub	825600
1	20	urban	35700
1	20	water	443900
2	1	crop	2026800
2	1	grass	220900
2	1	oak	2368600
2	1	pine	1041900
2	1	shrub	827100
2	1	urban	35700
2	1	water	443900
2	2	crop	2033900
2	2	grass	220700
2	2	oak	2370300
2	2	pine	1050600
2	2	shrub	829900
2	2	urban	35700
2	2	water	443900
2	3	crop	2027900
2	3	grass	220500
2	3	oak	2366900
2	3	pine	1045000
2	3	shrub	828100
2	3	urban	35700
2	3	water	443900
2	4	crop	2020100
2	4	grass	222000
2	4	oak	2366400
2	4	pine	1038800
2	4	shrub	821500
2	4	urban	35700
2	4	water	443900
2	5	crop	2036000
2	5	grass	222200
2	5	oak	2372100
2	5	pine	1052200
2	5	shrub	829400
2	5	urban	35700
2	5	water	443900
2	6	crop	2033100
2	6	grass	220400
2	6	oak	2370500
2	6	pine	1051900
2	6	shrub	830000
2	6	urban	35700
2	6	water	443900
2	7	crop	2029700
2	7	grass	222700
2	7	oak	2367000
2	7	pine	1029100
2	7	shrub	825800
2	7	urban	35700
2	7	water	443900
2	8	crop	2006700
2	8	grass	217500
2	8	oak	2340600
2	8	pine	1015300
2	8	shrub	821200
2	8	urban	35700
2	8	water	443900
2	9	crop	2038400
2	9	grass	222700
2	9	oak	2375000
2	9	pine	1049500
2	9	shrub	829700
2	9	urban	35700
2	9	water	443900
2	10	crop	2039500
2	10	grass	222200
2	10	oak	2373200
2	10	pine	1052000
2	10	shrub	829300
2	10	urban	35700
2	10	water	443900
2	11	crop	2028200
2	11	grass	221300
2	11	oak	2368500
2	11	pine	1045000
2	11	shrub	827200
2	11	urban	35700
2	11	water	443900
2	12	crop	2018200
2	12	grass	221300
2	12	oak	2359200
2	12	pine	1031600
2	12	shrub	825500
2	12	urban	35700
2	12	water	443900
2	13	crop	2036500
2	13	grass	222200
2	13	oak	2375100
2	13	pine	1051000
2	13	shrub	829800
2	13	urban	35700
2	13	water	443900
2	14	crop	2039500
2	14	grass	222800
2	14	oak	2373700
2	14	pine	1051900
2	14	shrub	829400
2	14	urban	35700
2	14	water	443900
2	15	crop	2029900
2	15	grass	221100
2	15	oak	2364000
2	15	pine	1045200
2	15	shrub	828400
2	15	urban	35700
2	15	water	443900
2	16	crop	2013600
2	16	grass	221300
2	16	oak	2341600
2	16	pine	1014200
2	16	shrub	823300
2	16	urban	35700
2	16	water	443900
2	17	crop	2025600
2	17	grass	222000
2	17	oak	2361900
2	17	pine	1034900
2	17	shrub	826500
2	17	urban	35700
2	17	water	443900
2	18	crop	2032400
2	18	grass	222600
2	18	oak	2371500
2	18	pine	1050500
2	18	shrub	829100
2	18	urban	35700
2	18	water	443900
2	19	crop	2023900
2	19	grass	221300
2	19	oak	2365400
2	19	pine	1037800
2	19	shrub	827400
2	19	urban	35700
2	19	water	443900
2	20	crop	2030200
2	20	grass	222100
2	20	oak	2360700
2	20	pine	1043000
2	20	shrub	828400
2	20	urban	35700
2	20	water	443900
3	1	crop	2040700
3	1	grass	222700
3	1	oak	2374300
3	1	pine	1052000
3	1	shrub	830400
3	1	urban	35700
3	1	water	443900
3	2	crop	2031800
3	2	grass	222200
3	2	oak	2366200
3	2	pine	1046500
3	2	shrub	828000
3	2	urban	35700
3	2	water	443900
3	3	crop	2023500
3	3	grass	221900
3	3	oak	2364200
3	3	pine	1035300
3	3	shrub	825800
3	3	urban	35700
3	3	water	443900
3	4	crop	2022000
3	4	grass	216400
3	4	oak	2355200
3	4	pine	1048200
3	4	shrub	828200
3	4	urban	35700
3	4	water	443900
3	5	crop	2037800
3	5	grass	222300
3	5	oak	2373800
3	5	pine	1052700
3	5	shrub	830600
3	5	urban	35700
3	5	water	443900
3	6	crop	1988300
3	6	grass	219700
3	6	oak	2325900
3	6	pine	999600
3	6	shrub	818700
3	6	urban	35700
3	6	water	443900
3	7	crop	2014900
3	7	grass	219600
3	7	oak	2347800
3	7	pine	1026500
3	7	shrub	825300
3	7	urban	35700
3	7	water	443900
3	8	crop	2028000
3	8	grass	222100
3	8	oak	2359400
3	8	pine	1037800
3	8	shrub	825600
3	8	urban	35700
3	8	water	443900
3	9	crop	2038000
3	9	grass	222500
3	9	oak	2372900
3	9	pine	1050500
3	9	shrub	829600
3	9	urban	35700
3	9	water	443900
3	10	crop	2034000
3	10	grass	221900
3	10	oak	2373600
3	10	pine	1050500
3	10	shrub	829100
3	10	urban	35700
3	10	water	443900
3	11	crop	2039000
3	11	grass	222800
3	11	oak	2376500
3	11	pine	1052400
3	11	shrub	830000
3	11	urban	35700
3	11	water	443900
3	12	crop	2030100
3	12	grass	220800
3	12	oak	2371200
3	12	pine	1046900
3	12	shrub	828000
3	12	urban	35700
3	12	water	443900
3	13	crop	2006300
3	13	grass	218100
3	13	oak	2334800
3	13	pine	1012700
3	13	shrub	819000
3	13	urban	35700
3	13	water	443900
3	14	crop	2038300
3	14	grass	222100
3	14	oak	2372300
3	14	pine	1052600
3	14	shrub	830400
3	14	urban	35700
3	14	water	443900
3	15	crop	2035200
3	15	grass	222000
3	15	oak	2371100
3	15	pine	1049600
3	15	shrub	828900
3	15	urban	35700
3	15	water	443900
3	16	crop	2018300
3	16	grass	222000
3	16	oak	2370300
3	16	pine	1042100
3	16	shrub	825100
3	16	urban	35700
3	16	water	443900
3	17	crop	2029600
3	17	grass	221200
3	17	oak	2366900
3	17	pine	1044600
3	17	shrub	828000
3	17	urban	35700
3	17	water	443900
3	18	crop	2037200
3	18	grass	222500
3	18	oak	2374300
3	18	pine	1053600
3	18	shrub	829900
3	18	urban	35700
3	18	water	443900
3	19	crop	2040100
3	19	grass	222600
3	19	oak	2376400
3	19	pine	1052500
3	19	shrub	830600
3	19	urban	35700
3	19	water	443900
3	20	crop	2034200
3	20	grass	222000
3	20	oak	2372600
3	20	pine	1050500
