run	year	region	lct	tschg	area
1	1	Biobío	oak	50	4500
1	1	Biobío	oak	NA	2300
1	1	Biobío	pine	50	4300
1	1	Biobío	pine	NA	1000
1	1	La Araucanía	oak	50	1200
1	1	La Araucanía	oak	NA	1100
1	1	La Araucanía	pine	50	800
1	1	La Araucanía	pine	NA	100
1	1	Ñuble	pine	NA	400
1	2	Biobío	oak	1	300
1	2	Biobío	oak	51	8800
1	2	Biobío	oak	NA	2300
1	2	Biobío	pine	51	5700
1	2	Biobío	pine	NA	1800
1	2	La Araucanía	oak	51	600
1	2	La Araucanía	oak	NA	500
1	2	La Araucanía	pine	51	300
1	2	Ñuble	oak	NA	100
1	2	Ñuble	pine	51	300
1	2	Ñuble	pine	NA	100
1	3	Biobío	oak	1	100
1	3	Biobío	oak	52	1600
1	3	Biobío	oak	NA	700
1	3	Biobío	pine	2	100
1	3	Biobío	pine	52	1400
1	3	Biobío	pine	NA	500
1	3	La Araucanía	oak	52	2700
1	3	La Araucanía	oak	NA	1000
1	3	La Araucanía	pine	52	800
1	3	La Araucanía	pine	NA	200
1	3	Ñuble	oak	52	2200
1	3	Ñuble	oak	NA	1100
1	3	Ñuble	pine	52	12500
1	3	Ñuble	pine	NA	4400
1	4	Biobío	oak	1	200
1	4	Biobío	oak	2	900
1	4	Biobío	oak	3	400
1	4	Biobío	oak	53	24500
1	4	Biobío	oak	NA	7400
1	4	Biobío	pine	1	200
1	4	Biobío	pine	2	500
1	4	Biobío	pine	3	300
1	4	Biobío	pine	53	25400
1	4	Biobío	pine	NA	8500
1	4	La Araucanía	oak	53	3000
1	4	La Araucanía	oak	NA	2100
1	4	La Araucanía	pine	53	1600
1	4	La Araucanía	pine	NA	600
1	4	Ñuble	pine	1	200
1	4	Ñuble	pine	53	700
1	4	Ñuble	pine	NA	100
1	5	Biobío	oak	1	400
1	5	Biobío	oak	3	100
1	5	Biobío	oak	4	200
1	5	Biobío	oak	54	2400
1	5	Biobío	oak	NA	500
1	5	Biobío	pine	1	400
1	5	Biobío	pine	2	100
1	5	Biobío	pine	3	100
1	5	Biobío	pine	4	600
1	5	Biobío	pine	54	2800
1	5	Biobío	pine	NA	300
1	5	La Araucanía	oak	54	1800
1	5	La Araucanía	oak	NA	1000
1	5	La Araucanía	pine	54	600
1	5	La Araucanía	pine	NA	100
1	5	Ñuble	oak	54	100
1	5	Ñuble	oak	NA	200
1	5	Ñuble	pine	54	200
1	5	Ñuble	pine	NA	200
1	6	Biobío	oak	2	400
1	6	Biobío	oak	4	300
1	6	Biobío	oak	55	2200
1	6	Biobío	oak	NA	900
1	6	Biobío	pine	2	400
1	6	Biobío	pine	5	100
1	6	Biobío	pine	55	1300
1	6	Biobío	pine	NA	1100
1	6	La Araucanía	oak	55	300
1	6	La Araucanía	oak	NA	600
1	6	La Araucanía	pine	55	1000
1	6	La Araucanía	pine	NA	200
1	6	Ñuble	oak	55	700
1	6	Ñuble	pine	1	100
1	6	Ñuble	pine	3	800
1	6	Ñuble	pine	55	2400
1	6	Ñuble	pine	NA	400
1	7	Biobío	oak	1	200
1	7	Biobío	oak	2	400
1	7	Biobío	oak	3	3400
1	7	Biobío	oak	4	300
1	7	Biobío	oak	5	500
1	7	Biobío	oak	6	1100
1	7	Biobío	oak	56	25500
1	7	Biobío	oak	NA	9100
1	7	Biobío	pine	1	500
1	7	Biobío	pine	2	1000
1	7	Biobío	pine	3	3700
1	7	Biobío	pine	5	600
1	7	Biobío	pine	6	900
1	7	Biobío	pine	56	27700
1	7	Biobío	pine	NA	8000
1	7	La Araucanía	oak	4	100
1	7	La Araucanía	oak	6	100
1	7	La Araucanía	oak	56	3800
1	7	La Araucanía	pine	56	1600
1	7	Ñuble	oak	56	200
1	7	Ñuble	oak	NA	100
1	7	Ñuble	pine	4	300
1	7	Ñuble	pine	56	1000
1	7	Ñuble	pine	NA	600
1	8	Biobío	oak	57	100
1	8	Biobío	oak	NA	100
1	8	Biobío	pine	7	100
1	8	Biobío	pine	57	400
1	8	Biobío	pine	NA	100
1	8	La Araucanía	oak	57	100
1	8	La Araucanía	pine	57	300
1	8	La Araucanía	pine	NA	200
1	8	Ñuble	oak	5	100
1	8	Ñuble	pine	1	100
1	8	Ñuble	pine	7	100
1	8	Ñuble	pine	57	1100
1	8	Ñuble	pine	NA	100
1	9	Biobío	oak	2	100
1	9	Biobío	oak	NA	100
1	9	Biobío	pine	2	100
1	9	Biobío	pine	5	100
1	9	Biobío	pine	58	1100
1	9	Biobío	pine	NA	300
1	9	La Araucanía	oak	58	1000
1	9	La Araucanía	oak	NA	400
1	9	La Araucanía	pine	58	600
1	9	La Araucanía	pine	NA	100
1	9	Ñuble	oak	58	100
1	9	Ñuble	oak	NA	300
1	9	Ñuble	pine	6	200
1	9	Ñuble	pine	58	700
1	9	Ñuble	pine	NA	1100
1	10	Biobío	oak	3	100
1	10	Biobío	oak	6	100
1	10	Biobío	oak	59	700
1	10	Biobío	oak	NA	400
1	10	Biobío	pine	1	100
1	10	Biobío	pine	3	500
1	10	Biobío	pine	4	100
1	10	Biobío	pine	6	300
1	10	Biobío	pine	8	100
1	10	Biobío	pine	59	2500
1	10	Biobío	pine	NA	800
1	10	La Araucanía	oak	59	1400
1	10	La Araucanía	oak	NA	500
1	10	La Araucanía	pine	4	100
1	10	La Araucanía	pine	59	200
1	10	La Araucanía	pine	NA	300
1	10	Ñuble	pine	7	200
1	10	Ñuble	pine	59	600
1	10	Ñuble	pine	NA	100
1	11	Biobío	oak	60	200
1	11	Biobío	pine	60	100
1	11	Biobío	pine	NA	200
1	11	La Araucanía	oak	2	100
1	11	La Araucanía	oak	8	100
1	11	La Araucanía	oak	60	800
1	11	La Araucanía	oak	NA	900
1	11	La Araucanía	pine	60	200
1	11	La Araucanía	pine	NA	500
1	11	Ñuble	pine	5	100
1	11	Ñuble	pine	60	900
1	11	Ñuble	pine	NA	300
1	12	Biobío	oak	5	100
1	12	Biobío	oak	7	100
1	12	Biobío	oak	8	100
1	12	Biobío	oak	61	600
1	12	Biobío	pine	61	100
1	12	Biobío	pine	NA	100
1	12	La Araucanía	oak	61	400
1	12	La Araucanía	pine	61	200
1	12	Ñuble	pine	61	700
1	12	Ñuble	pine	NA	200
1	13	Biobío	oak	3	100
1	13	Biobío	oak	6	500
1	13	Biobío	oak	7	100
1	13	Biobío	oak	9	300
1	13	Biobío	oak	11	100
1	13	Biobío	oak	62	5100
1	13	Biobío	oak	NA	2200
1	13	Biobío	pine	3	100
1	13	Biobío	pine	6	1200
1	13	Biobío	pine	7	100
1	13	Biobío	pine	8	100
1	13	Biobío	pine	9	600
1	13	Biobío	pine	10	100
1	13	Biobío	pine	11	100
1	13	Biobío	pine	62	5300
1	13	Biobío	pine	NA	1900
1	13	La Araucanía	oak	1	100
1	13	La Araucanía	oak	10	100
1	13	La Araucanía	oak	62	1600
1	13	La Araucanía	oak	NA	600
1	13	La Araucanía	pine	62	500
1	13	La Araucanía	pine	NA	200
1	13	Ñuble	oak	62	300
1	13	Ñuble	pine	6	100
1	13	Ñuble	pine	62	500
1	13	Ñuble	pine	NA	200
1	14	Biobío	oak	7	100
1	14	Biobío	oak	63	400
1	14	Biobío	oak	NA	100
1	14	Biobío	pine	63	800
1	14	Biobío	pine	NA	200
1	14	La Araucanía	oak	8	100
1	14	La Araucanía	oak	11	100
1	14	La Araucanía	oak	63	1900
1	14	La Araucanía	oak	NA	1700
1	14	La Araucanía	pine	63	900
1	14	La Araucanía	pine	NA	400
1	14	Ñuble	oak	8	100
