run	year	region	lct	tschg	area
1	1	Biobío	oak	50	0
1	1	Biobío	oak	NA	1100
1	1	Biobío	pine	50	0
1	1	Biobío	pine	NA	800
1	1	La Araucanía	oak	50	0
1	1	La Araucanía	oak	NA	500
1	1	La Araucanía	pine	50	0
1	1	La Araucanía	pine	NA	0
1	1	Ñuble	pine	50	200
1	1	Ñuble	pine	NA	800
1	2	Biobío	oak	1	0
1	2	Biobío	oak	51	400
1	2	Biobío	oak	NA	3000
1	2	Biobío	pine	51	0
1	2	Biobío	pine	NA	1600
1	2	La Araucanía	oak	51	0
1	2	La Araucanía	oak	NA	800
1	2	La Araucanía	pine	51	0
1	2	Ñuble	oak	NA	100
1	2	Ñuble	pine	51	0
1	2	Ñuble	pine	NA	200
1	3	Biobío	oak	1	0
1	3	Biobío	oak	52	200
1	3	Biobío	oak	NA	1200
1	3	Biobío	pine	2	0
1	3	Biobío	pine	52	600
1	3	Biobío	pine	NA	900
1	3	La Araucanía	oak	52	0
1	3	La Araucanía	oak	NA	1000
1	3	La Araucanía	pine	52	300
1	3	La Araucanía	pine	NA	700
1	3	Ñuble	oak	52	300
1	3	Ñuble	oak	NA	200
1	3	Ñuble	pine	52	2600
1	3	Ñuble	pine	NA	9100
1	4	Biobío	oak	1	0
1	4	Biobío	oak	2	700
1	4	Biobío	oak	3	100
1	4	Biobío	oak	53	11000
1	4	Biobío	oak	NA	19600
1	4	Biobío	pine	1	0
1	4	Biobío	pine	2	200
1	4	Biobío	pine	3	0
1	4	Biobío	pine	53	5000
1	4	Biobío	pine	NA	15200
1	4	La Araucanía	oak	53	600
1	4	La Araucanía	oak	NA	1300
1	4	La Araucanía	pine	53	400
1	4	La Araucanía	pine	NA	400
1	4	Ñuble	pine	1	0
1	4	Ñuble	pine	53	100
1	4	Ñuble	pine	NA	600
1	5	Biobío	oak	1	0
1	5	Biobío	oak	3	0
1	5	Biobío	oak	4	0
1	5	Biobío	oak	54	300
1	5	Biobío	oak	NA	900
1	5	Biobío	pine	1	0
1	5	Biobío	pine	2	0
1	5	Biobío	pine	3	0
1	5	Biobío	pine	4	0
1	5	Biobío	pine	54	200
1	5	Biobío	pine	NA	1800
1	5	La Araucanía	oak	54	600
1	5	La Araucanía	oak	NA	2700
1	5	La Araucanía	pine	54	100
1	5	La Araucanía	pine	NA	100
1	5	Ñuble	oak	54	0
1	5	Ñuble	oak	NA	0
1	5	Ñuble	pine	54	0
1	5	Ñuble	pine	NA	0
1	6	Biobío	oak	2	0
1	6	Biobío	oak	4	0
1	6	Biobío	oak	5	100
1	6	Biobío	oak	55	600
1	6	Biobío	oak	NA	2900
1	6	Biobío	pine	2	0
1	6	Biobío	pine	5	0
1	6	Biobío	pine	55	100
1	6	Biobío	pine	NA	2100
1	6	La Araucanía	oak	55	100
1	6	La Araucanía	oak	NA	200
1	6	La Araucanía	pine	55	200
1	6	La Araucanía	pine	NA	200
1	6	Ñuble	oak	55	100
1	6	Ñuble	oak	NA	400
1	6	Ñuble	pine	1	0
1	6	Ñuble	pine	3	100
1	6	Ñuble	pine	55	800
1	6	Ñuble	pine	NA	3800
1	7	Biobío	oak	1	0
1	7	Biobío	oak	2	0
1	7	Biobío	oak	3	500
1	7	Biobío	oak	4	0
1	7	Biobío	oak	5	0
1	7	Biobío	oak	6	0
1	7	Biobío	oak	56	3500
1	7	Biobío	oak	NA	13300
1	7	Biobío	pine	1	300
1	7	Biobío	pine	2	0
1	7	Biobío	pine	3	1100
1	7	Biobío	pine	5	500
1	7	Biobío	pine	6	300
1	7	Biobío	pine	56	6300
1	7	Biobío	pine	NA	19400
1	7	La Araucanía	oak	4	0
1	7	La Araucanía	oak	6	0
1	7	La Araucanía	oak	56	700
1	7	La Araucanía	oak	NA	2300
1	7	La Araucanía	pine	56	400
1	7	La Araucanía	pine	NA	800
1	7	Ñuble	oak	56	0
1	7	Ñuble	oak	NA	0
1	7	Ñuble	pine	4	0
1	7	Ñuble	pine	56	0
1	7	Ñuble	pine	NA	400
1	8	Biobío	oak	57	0
1	8	Biobío	oak	NA	0
1	8	Biobío	pine	7	0
1	8	Biobío	pine	57	0
1	8	Biobío	pine	NA	100
1	8	La Araucanía	oak	57	500
1	8	La Araucanía	oak	NA	800
1	8	La Araucanía	pine	57	400
1	8	La Araucanía	pine	NA	0
1	8	Ñuble	oak	5	0
1	8	Ñuble	oak	NA	100
1	8	Ñuble	pine	1	0
1	8	Ñuble	pine	7	0
1	8	Ñuble	pine	57	0
1	8	Ñuble	pine	NA	300
1	9	Biobío	oak	2	0
1	9	Biobío	oak	NA	0
1	9	Biobío	pine	2	0
1	9	Biobío	pine	5	0
1	9	Biobío	pine	58	0
1	9	Biobío	pine	NA	300
1	9	La Araucanía	oak	5	100
1	9	La Araucanía	oak	58	300
1	9	La Araucanía	oak	NA	800
1	9	La Araucanía	pine	58	200
1	9	La Araucanía	pine	NA	600
1	9	Ñuble	oak	58	0
1	9	Ñuble	oak	NA	0
1	9	Ñuble	pine	6	0
1	9	Ñuble	pine	58	0
1	9	Ñuble	pine	NA	1000
1	10	Biobío	oak	3	0
1	10	Biobío	oak	6	0
1	10	Biobío	oak	59	0
1	10	Biobío	oak	NA	1200
1	10	Biobío	pine	1	0
1	10	Biobío	pine	3	0
1	10	Biobío	pine	4	0
1	10	Biobío	pine	6	0
1	10	Biobío	pine	8	0
1	10	Biobío	pine	59	0
1	10	Biobío	pine	NA	1200
1	10	La Araucanía	oak	59	0
1	10	La Araucanía	oak	NA	600
1	10	La Araucanía	pine	4	0
1	10	La Araucanía	pine	59	0
1	10	La Araucanía	pine	NA	300
1	10	Ñuble	pine	7	0
1	10	Ñuble	pine	59	100
1	10	Ñuble	pine	NA	100
1	11	Biobío	oak	60	500
1	11	Biobío	oak	NA	600
1	11	Biobío	pine	60	100
1	11	Biobío	pine	NA	0
1	11	La Araucanía	oak	2	0
1	11	La Araucanía	oak	8	0
1	11	La Araucanía	oak	60	0
1	11	La Araucanía	oak	NA	200
1	11	La Araucanía	pine	60	0
1	11	La Araucanía	pine	NA	100
1	11	Ñuble	pine	5	0
1	11	Ñuble	pine	60	0
1	11	Ñuble	pine	NA	0
1	12	Biobío	oak	5	0
1	12	Biobío	oak	7	0
1	12	Biobío	oak	8	0
1	12	Biobío	oak	61	100
1	12	Biobío	oak	NA	1300
1	12	Biobío	pine	61	0
1	12	Biobío	pine	NA	200
1	12	La Araucanía	oak	61	0
1	12	La Araucanía	pine	61	0
1	12	La Araucanía	pine	NA	200
1	12	Ñuble	oak	NA	100
1	12	Ñuble	pine	61	0
1	12	Ñuble	pine	NA	200
1	13	Biobío	oak	3	0
1	13	Biobío	oak	6	0
1	13	Biobío	oak	7	0
1	13	Biobío	oak	9	0
1	13	Biobío	oak	11	0
1	13	Biobío	oak	62	700
1	13	Biobío	oak	NA	4300
1	13	Biobío	pine	3	0
1	13	Biobío	pine	6	0
1	13	Biobío	pine	7	0
1	13	Biobío	pine	8	0
1	13	Biobío	pine	9	0
1	13	Biobío	pine	10	0
1	13	Biobío	pine	11	0
1	13	Biobío	pine	12	100
1	13	Biobío	pine	62	200
1	13	Biobío	pine	NA	3000
1	13	La Araucanía	oak	1	0
1	13	La Araucanía	oak	10	0
1	13	La Araucanía	oak	62	100
1	13	La Araucanía	oak	NA	3000
1	13	La Araucanía	pine	62	100
1	13	La Araucanía	pine	NA	700
1	13	Ñuble	oak	10	100
1	13	Ñuble	oak	62	100
1	13	Ñuble	oak	NA	2500
1	13	Ñuble	pine	6	0
1	13	Ñuble	pine	62	100
1	13	Ñuble	pine	NA	1300
1	14	Biobío	oak	7	0
1	14	Biobío	oak	63	0
1	14	Biobío	oak	NA	100
1	14	Biobío	pine	63	0
1	14	Biobío	pine	NA	100
1	14	La Araucanía	oak	8	0
1	14	La Araucanía	oak	11	0
1	14	La Araucanía	oak	63	0
1	14	La Araucanía	oak	NA	600
1	14	La Araucanía	pine	63	0
1	14	La Araucanía	pine	NA	300
1	14	Ñuble	oak	8	0
1	14	Ñuble	oak	63	600
1	14	Ñuble	oak	NA	3200
1	14	Ñuble	pine	2	0
1	14	Ñuble	pine	7	0
1	14	Ñuble	pine	11	0
1	14	Ñuble	pine	63	200
1	14	Ñuble	pine	NA	1300
1	15	Biobío	oak	2	0
1	15	Biobío	oak	4	0
1	15	Biobío	oak	8	300
1	15	Biobío	oak	9	0
1	15	Biobío	oak	11	200
1	15	Biobío	oak	64	600
1	15	Biobío	oak	NA	3000
1	15	Biobío	pine	2	100
1	15	Biobío	pine	8	200
1	15	Biobío	pine	9	0
1	15	Biobío	pine	10	100
1	15	Biobío	pine	11	600
1	15	Biobío	pine	13	0
1	15	Biobío	pine	14	0
1	15	Biobío	pine	64	2400
1	15	Biobío	pine	NA	5900
1	15	La Araucanía	oak	64	0
1	15	La Araucanía	oak	NA	1000
1	15	La Araucanía	pine	64	0
1	15	La Araucanía	pine	NA	0
1	15	Ñuble	oak	1	0
1	15	Ñuble	oak	64	0
1	15	Ñuble	oak	NA	0
1	15	Ñuble	pine	7	100
1	15	Ñuble	pine	8	0
1	15	Ñuble	pine	11	0
1	15	Ñuble	pine	12	0
1	15	Ñuble	pine	13	0
1	15	Ñuble	pine	64	300
1	15	Ñuble	pine	NA	1900
1	16	Biobío	oak	1	400
1	16	Biobío	oak	9	300
1	16	Biobío	oak	10	0
1	16	Biobío	oak	12	300
1	16	Biobío	oak	13	0
1	16	Biobío	oak	14	0
1	16	Biobío	oak	15	0
1	16	Biobío	oak	65	3400
1	16	Biobío	oak	NA	2800
1	16	Biobío	pine	1	100
1	16	Biobío	pine	3	0
1	16	Biobío	pine	9	200
1	16	Biobío	pine	11	100
1	16	Biobío	pine	12	900
1	16	Biobío	pine	65	2000
1	16	Biobío	pine	NA	4000
1	16	La Araucanía	oak	1	300
1	16	La Araucanía	oak	5	0
1	16	La Araucanía	oak	7	0
1	16	La Araucanía	oak	10	0
1	16	La Araucanía	oak	12	0
1	16	La Araucanía	oak	13	0
1	16	La Araucanía	oak	15	0
1	16	La Araucanía	oak	65	500
1	16	La Araucanía	oak	NA	1900
1	16	La Araucanía	pine	1	300
1	16	La Araucanía	pine	3	0
1	16	La Araucanía	pine	11	0
1	16	La Araucanía	pine	65	700
1	16	La Araucanía	pine	NA	1000
1	16	Ñuble	oak	65	0
1	16	Ñuble	oak	NA	0
1	16	Ñuble	pine	1	0
1	16	Ñuble	pine	9	0
1	16	Ñuble	pine	13	0
1	16	Ñuble	pine	65	100
1	16	Ñuble	pine	NA	300
1	17	Biobío	oak	10	200
1	17	Biobío	oak	13	0
1	17	Biobío	oak	14	0
1	17	Biobío	oak	66	100
1	17	Biobío	oak	NA	400
1	17	Biobío	pine	1	0
1	17	Biobío	pine	10	0
1	17	Biobío	pine	13	0
1	17	Biobío	pine	66	0
1	17	Biobío	pine	NA	500
1	17	La Araucanía	oak	3	0
1	17	La Araucanía	oak	66	0
1	17	La Araucanía	oak	NA	700
1	17	La Araucanía	pine	1	0
1	17	La Araucanía	pine	13	0
1	17	La Araucanía	pine	66	0
1	17	La Araucanía	pine	NA	300
1	17	Ñuble	oak	NA	0
1	17	Ñuble	pine	2	0
1	17	Ñuble	pine	3	100
1	17	Ñuble	pine	14	0
1	17	Ñuble	pine	66	100
1	17	Ñuble	pine	NA	900
1	18	Biobío	oak	3	0
1	18	Biobío	oak	11	0
1	18	Biobío	oak	12	0
1	18	Biobío	oak	14	0
1	18	Biobío	oak	16	0
1	18	Biobío	oak	17	100
1	18	Biobío	oak	67	300
1	18	Biobío	oak	NA	3500
1	18	Biobío	pine	2	0
1	18	Biobío	pine	11	0
1	18	Biobío	pine	12	0
1	18	Biobío	pine	14	0
1	18	Biobío	pine	16	0
1	18	Biobío	pine	67	0
1	18	Biobío	pine	NA	1000
1	18	La Araucanía	oak	2	0
1	18	La Araucanía	oak	67	400
1	18	La Araucanía	oak	NA	1500
1	18	La Araucanía	pine	11	0
1	18	La Araucanía	pine	67	0
1	18	La Araucanía	pine	NA	500
1	18	Ñuble	pine	67	0
1	19	Biobío	oak	1	0
1	19	Biobío	oak	2	0
1	19	Biobío	oak	4	0
1	19	Biobío	oak	9	0
1	19	Biobío	oak	12	300
1	19	Biobío	oak	13	200
1	19	Biobío	oak	14	300
1	19	Biobío	oak	15	300
1	19	Biobío	oak	16	0
1	19	Biobío	oak	18	0
1	19	Biobío	oak	68	1600
1	19	Biobío	oak	NA	9100
1	19	Biobío	pine	1	0
1	19	Biobío	pine	3	0
1	19	Biobío	pine	4	0
1	19	Biobío	pine	5	100
1	19	Biobío	pine	6	0
1	19	Biobío	pine	9	0
1	19	Biobío	pine	12	100
1	19	Biobío	pine	13	0
1	19	Biobío	pine	14	100
1	19	Biobío	pine	15	300
1	19	Biobío	pine	17	0
1	19	Biobío	pine	18	0
1	19	Biobío	pine	68	600
1	19	Biobío	pine	NA	6400
1	19	La Araucanía	oak	12	0
1	19	La Araucanía	oak	68	0
1	19	La Araucanía	oak	NA	800
1	19	La Araucanía	pine	12	0
1	19	La Araucanía	pine	68	0
1	19	La Araucanía	pine	NA	200
1	19	Ñuble	pine	12	0
1	19	Ñuble	pine	16	0
1	19	Ñuble	pine	68	0
1	19	Ñuble	pine	NA	500
1	20	Biobío	oak	4	0
1	20	Biobío	oak	13	0
1	20	Biobío	oak	15	0
