run	year	lct	area
1	1	crop	2039500
1	1	grass	222400
1	1	oak	2374600
1	1	pine	1052800
1	1	shrub	829500
1	1	urban	35700
1	1	water	443900
1	2	crop	2037300
1	2	grass	222300
1	2	oak	2370000
1	2	pine	1044800
1	2	shrub	828600
1	2	urban	35700
1	2	water	443900
1	3	crop	2023600
1	3	grass	221400
1	3	oak	2348700
1	3	pine	1019300
1	3	shrub	826400
1	3	urban	35700
1	3	water	443900
1	4	crop	2036500
1	4	grass	222100
1	4	oak	2371200
1	4	pine	1050700
1	4	shrub	829600
1	4	urban	35700
1	4	water	443900
1	5	crop	2038100
1	5	grass	222500
1	5	oak	2368600
1	5	pine	1047200
1	5	shrub	829100
1	5	urban	35700
1	5	water	443900
1	6	crop	2031700
1	6	grass	222300
1	6	oak	2363200
1	6	pine	1038800
1	6	shrub	827400
1	6	urban	35700
1	6	water	443900
1	7	crop	2039000
1	7	grass	222600
1	7	oak	2374100
1	7	pine	1051200
1	7	shrub	829800
1	7	urban	35700
1	7	water	443900
1	8	crop	2029600
1	8	grass	222200
1	8	oak	2363700
1	8	pine	1032300
1	8	shrub	825700
1	8	urban	35700
1	8	water	443900
1	9	crop	2033500
1	9	grass	222400
1	9	oak	2368800
1	9	pine	1041400
1	9	shrub	826500
1	9	urban	35700
1	9	water	443900
1	10	crop	2026500
1	10	grass	222500
1	10	oak	2360900
1	10	pine	1034100
1	10	shrub	823800
1	10	urban	35700
1	10	water	443900
1	11	crop	2033300
1	11	grass	222000
1	11	oak	2366900
1	11	pine	1042600
1	11	shrub	827900
1	11	urban	35700
1	11	water	443900
1	12	crop	2041700
1	12	grass	222600
1	12	oak	2375700
1	12	pine	1052700
1	12	shrub	829600
1	12	urban	35700
1	12	water	443900
1	13	crop	2033900
1	13	grass	222300
1	13	oak	2371800
1	13	pine	1049900
1	13	shrub	827900
1	13	urban	35700
1	13	water	443900
1	14	crop	2037500
1	14	grass	222500
1	14	oak	2373400
1	14	pine	1052500
1	14	shrub	829800
1	14	urban	35700
1	14	water	443900
1	15	crop	2024500
1	15	grass	222500
1	15	oak	2372200
1	15	pine	1041900
1	15	shrub	825300
1	15	urban	35700
1	15	water	443900
1	16	crop	2039600
1	16	grass	222400
1	16	oak	2374600
1	16	pine	1054400
1	16	shrub	830200
1	16	urban	35700
1	16	water	443900
1	17	crop	2036500
1	17	grass	222700
1	17	oak	2376000
1	17	pine	1051000
1	17	shrub	828000
1	17	urban	35700
1	17	water	443900
1	18	crop	2033300
1	18	grass	222600
1	18	oak	2371800
1	18	pine	1044600
1	18	shrub	828100
1	18	urban	35700
1	18	water	443900
1	19	crop	2041100
1	19	grass	222500
1	19	oak	2375900
1	19	pine	1053900
1	19	shrub	830500
1	19	urban	35700
1	19	water	443900
1	20	crop	2032300
1	20	grass	222200
1	20	oak	2366200
1	20	pine	1045000
1	20	shrub	829100
1	20	urban	35700
1	20	water	443900
2	1	crop	2041800
2	1	grass	222800
2	1	oak	2376800
2	1	pine	1054900
2	1	shrub	830500
2	1	urban	35700
2	1	water	443900
2	2	crop	2036300
2	2	grass	222400
2	2	oak	2364900
2	2	pine	1040000
2	2	shrub	827100
2	2	urban	35700
2	2	water	443900
2	3	crop	2035400
2	3	grass	222400
2	3	oak	2366900
2	3	pine	1039300
2	3	shrub	826900
2	3	urban	35700
2	3	water	443900
2	4	crop	2020000
2	4	grass	220500
2	4	oak	2352200
2	4	pine	1035600
2	4	shrub	826200
2	4	urban	35700
2	4	water	443900
2	5	crop	2038000
2	5	grass	222500
2	5	oak	2370200
2	5	pine	1047600
2	5	shrub	829500
2	5	urban	35700
2	5	water	443900
2	6	crop	2038500
2	6	grass	222700
2	6	oak	2372900
2	6	pine	1050200
2	6	shrub	829700
2	6	urban	35700
2	6	water	443900
2	7	crop	2030700
2	7	grass	222000
2	7	oak	2359300
2	7	pine	1034600
2	7	shrub	827200
2	7	urban	35700
2	7	water	443900
2	8	crop	2020900
2	8	grass	221500
2	8	oak	2345300
2	8	pine	1016700
2	8	shrub	823400
2	8	urban	35700
2	8	water	443900
2	9	crop	2038200
2	9	grass	222600
2	9	oak	2371600
2	9	pine	1050500
2	9	shrub	830000
2	9	urban	35700
2	9	water	443900
2	10	crop	2040700
2	10	grass	222800
2	10	oak	2375100
2	10	pine	1052000
2	10	shrub	830100
2	10	urban	35700
2	10	water	443900
2	11	crop	2038900
2	11	grass	222700
2	11	oak	2374600
2	11	pine	1052000
2	11	shrub	829100
2	11	urban	35700
2	11	water	443900
2	12	crop	2032000
2	12	grass	222300
2	12	oak	2363400
2	12	pine	1038600
2	12	shrub	827700
2	12	urban	35700
2	12	water	443900
2	13	crop	2027700
2	13	grass	221800
2	13	oak	2362900
2	13	pine	1037700
2	13	shrub	827300
2	13	urban	35700
2	13	water	443900
2	14	crop	2022100
2	14	grass	220800
2	14	oak	2360300
2	14	pine	1046800
2	14	shrub	826900
2	14	urban	35700
2	14	water	443900
2	15	crop	2035500
2	15	grass	222300
2	15	oak	2367400
2	15	pine	1046600
2	15	shrub	828400
2	15	urban	35700
2	15	water	443900
2	16	crop	2039000
2	16	grass	222500
2	16	oak	2375600
2	16	pine	1052800
2	16	shrub	830300
2	16	urban	35700
2	16	water	443900
2	17	crop	2036500
2	17	grass	222400
2	17	oak	2372500
2	17	pine	1051600
2	17	shrub	830400
2	17	urban	35700
2	17	water	443900
2	18	crop	2039300
2	18	grass	222500
2	18	oak	2375100
2	18	pine	1051200
2	18	shrub	829600
2	18	urban	35700
2	18	water	443900
2	19	crop	2039700
2	19	grass	222500
2	19	oak	2375300
2	19	pine	1054600
2	19	shrub	830200
2	19	urban	35700
2	19	water	443900
2	20	crop	2035700
2	20	grass	222100
2	20	oak	2369200
2	20	pine	1048400
2	20	shrub	830200
2	20	urban	35700
2	20	water	443900
3	1	crop	2038200
3	1	grass	222600
3	1	oak	2372300
3	1	pine	1051000
3	1	shrub	829800
3	1	urban	35700
3	1	water	443900
3	2	crop	2032900
3	2	grass	222400
3	2	oak	2368800
3	2	pine	1046700
3	2	shrub	827700
3	2	urban	35700
3	2	water	443900
3	3	crop	2037200
3	3	grass	222500
3	3	oak	2373100
3	3	pine	1051000
3	3	shrub	829600
3	3	urban	35700
3	3	water	443900
3	4	crop	2034600
3	4	grass	222700
3	4	oak	2372800
3	4	pine	1046400
3	4	shrub	827500
3	4	urban	35700
3	4	water	443900
3	5	crop	2038200
3	5	grass	222300
3	5	oak	2374200
3	5	pine	1053400
3	5	shrub	829900
3	5	urban	35700
3	5	water	443900
3	6	crop	2034300
3	6	grass	222100
3	6	oak	2369900
3	6	pine	1049300
3	6	shrub	829100
3	6	urban	35700
3	6	water	443900
3	7	crop	2038900
3	7	grass	222800
3	7	oak	2375700
3	7	pine	1049300
3	7	shrub	829100
3	7	urban	35700
3	7	water	443900
3	8	crop	2039300
3	8	grass	222100
3	8	oak	2374500
3	8	pine	1051800
3	8	shrub	829300
3	8	urban	35700
3	8	water	443900
3	9	crop	2037900
3	9	grass	222600
3	9	oak	2373200
3	9	pine	1049400
3	9	shrub	828000
3	9	urban	35700
3	9	water	443900
3	10	crop	2036000
3	10	grass	222700
3	10	oak	2373500
3	10	pine	1049300
3	10	shrub	828800
3	10	urban	35700
3	10	water	443900
3	11	crop	2041300
3	11	grass	222700
3	11	oak	2376900
3	11	pine	1053700
3	11	shrub	830400
3	11	urban	35700
3	11	water	443900
3	12	crop	2039600
3	12	grass	222200
3	12	oak	2372600
3	12	pine	1052000
3	12	shrub	829800
3	12	urban	35700
3	12	water	443900
3	13	crop	2034400
3	13	grass	222700
3	13	oak	2370800
3	13	pine	1044700
3	13	shrub	827900
3	13	urban	35700
3	13	water	443900
3	14	crop	2035700
3	14	grass	222500
3	14	oak	2373800
3	14	pine	1052000
3	14	shrub	828900
3	14	urban	35700
3	14	water	443900
3	15	crop	2035000
3	15	grass	222600
3	15	oak	2371700
3	15	pine	1048900
3	15	shrub	829200
3	15	urban	35700
3	15	water	443900
3	16	crop	2036300
3	16	grass	221900
3	16	oak	2371200
3	16	pine	1049500
3	16	shrub	829100
3	16	urban	35700
3	16	water	443900
3	17	crop	2033900
3	17	grass	222300
3	17	oak	2370400
3	17	pine	1043100
3	17	shrub	827000
3	17	urban	35700
3	17	water	443900
3	18	crop	2040400
3	18	grass	222800
3	18	oak	2371400
3	18	pine	1045600
3	18	shrub	829900
3	18	urban	35700
3	18	water	443900
3	19	crop	2036400
3	19	grass	222600
3	19	oak	2375300
3	19	pine	1048200
3	19	shrub	827800
3	19	urban	35700
3	19	water	443900
3	20	crop	2039600
3	20	grass	222800
3	20	oak	2374500
3	20	pine	1051600
3	20	shrub	829500
3	20	urban	35700
3	20	water	443900
4	1	crop	2030000
4	1	grass	222500
4	1	oak	2360800
4	1	pine	1032700
4	1	shrub	827200
4	1	urban	35700
4	1	water	443900
4	2	crop	2038200
4	2	grass	222100
4	2	oak	2371100
4	2	pine	1051300
4	2	shrub	829800
4	2	urban	35700
4	2	water	443900
4	3	crop	2037200
4	3	grass	221800
4	3	oak	2369800
4	3	pine	1048400
4	3	shrub	829600
4	3	urban	35700
4	3	water	443900
4	4	crop	2031100
4	4	grass	222200
4	4	oak	2360300
4	4	pine	1035800
4	4	shrub	828100
4	4	urban	35700
4	4	water	443900
4	5	crop	2034300
4	5	grass	222400
4	5	oak	2372000
4	5	pine	1050200
4	5	shrub	829100
4	5	urban	35700
4	5	water	443900
4	6	crop	2039900
4	6	grass	222600
4	6	oak	2373500
4	6	pine	1052700
4	6	shrub	830100
4	6	urban	35700
4	6	water	443900
4	7	crop	2025600
4	7	grass	222300
4	7	oak	2372400
4	7	pine	1036800
4	7	shrub	822800
4	7	urban	35700
4	7	water	443900
4	8	crop	2034400
4	8	grass	222100
4	8	oak	2373200
4	8	pine	1051800
4	8	shrub	829200
4	8	urban	35700
4	8	water	443900
4	9	crop	2039400
4	9	grass	222400
4	9	oak	2376100
4	9	pine	1052500
4	9	shrub	829900
4	9	urban	35700
4	9	water	443900
4	10	crop	2039900
4	10	grass	222700
4	10	oak	2371700
4	10	pine	1048800
4	10	shrub	830000
4	10	urban	35700
4	10	water	443900
4	11	crop	2033100
4	11	grass	222400
4	11	oak	2371100
4	11	pine	1047300
4	11	shrub	828500
4	11	urban	35700
4	11	water	443900
4	12	crop	2029700
4	12	grass	222600
4	12	oak	2371700
4	12	pine	1042000
4	12	shrub	827900
4	12	urban	35700
4	12	water	443900
4	13	crop	2034000
4	13	grass	222600
4	13	oak	2373900
4	13	pine	1050200
4	13	shrub	828800
4	13	urban	35700
